Species Name ,Common Name,Sex,N,LogMean,   Mean ,S.D.,Min,Max,Season,             Location,    Source #,
Fulica_armillata                                  ,Red-gartered Coot,U,34,6.946975992,1040,,860,1260,,,362,
Fulica_atra_subsp._australis                      ,Eurasian Coot,B,16,6.274762021,531,81.8,351,660, ,SE Australia,746,
Fulica_atra                                       ,Eurasian Coot,M,215,6.80461452,902,,610,1200,,,1198,
Fulica_chathamensis                               ,Horned Coot,M,3,7.772331575,2374,,2100,2611,,,"916, 1198",
Fulica_cornuta,Horned Coot,M,3,7.772331575,2374,,2100,2611,,,"916, 1198",
Fulica_cristata,Red-knobbed Coot,U,37,6.716594774,826,96.8,585,1080,,South Africa,508,
Fulica_gigantea,Giant Coot,M,1,7.901007052,2700,,,,,,1198,
Fulica_leucoptera,White-winged Coot,B,7,6.486160789,656,,400,1420,,Brazil; Argentina,"63, 210, 546, 1198",
Fulica_rufifrons,Red-fronted Coot,U,20,6.467698726,644,,533,872,, ,1198,
Gallicrex_cinerea,Watercock,M,9,6.22059017,503,,326,650,, ,"954, 1287",
Gallinula_chloropus_subsp._brachyptera,Common Moorhen,M,74,5.826000107,339,,249,493,,,41,
Gallinula_chloropus_subsp._chloropus,Common Moorhen,M,74,5.826000107,339,,249,493,,,41,
Gallinula_chloropus_subsp._indica ,Common Moorhen,M,74,5.826000107,339,,249,493,,,41,
Gallinula_chloropus_subsp._orientalis,Common Moorhen,M,74,5.826000107,339,,249,493,,,41,
Gallinula_chloropus                               ,Common Moorhen,M,74,5.826000107,339,,249,493,,,41,
Gallinula_galeata_subsp._galeata                  ,Spot-flanked Gallinule,U,3,5.252273428,191,,154,225,, ,1198,
Gallinula_galeata_subsp._sandvicensis  ,Spot-flanked Gallinule,U,3,5.252273428,191,,154,225,, ,1198,
Gallinula_melanops,Spot-flanked Gallinule,U,3,5.252273428,191,,154,225,, ,1198,
Gallinula_nesiotis_subsp._comeri                  ,Tristan Moorhen ,U,3,6.240275845,513,,505,530,,,1198,
Gallinula_nesiotis                                ,Tristan Moorhen ,U,3,6.240275845,513,,505,530,,,1198,
Gallinula_tenebrosa                               ,Dusky Moorhen ,M,5,6.345636361,570,,490,720,,,746,
Gallirallus_australis_subsp._australis ,Weka,M,9,6.88550967,978,,612,1250,,,746,
Gallirallus_australis_subsp._greyi                ,Weka,M,9,6.88550967,978,,612,1250,,,746,
Gallirallus_australis                             ,Weka,M,9,6.88550967,978,,612,1250,,,746,
Gallirallus_calayanensis                          ,Calayan Rail,F,1,5.497168225,244,,,,,"Philippines, subadult",7a,
Gallirallus_dieffenbachii                         ,Calayan Rail,F,1,5.497168225,244,,,,,"Philippines, subadult",7a,
Gallirallus_insignis                              ,Calayan Rail,F,1,5.497168225,244,,,,,"Philippines, subadult",7a,
Gallirallus_lafresnayanus                         ,Calayan Rail,F,1,5.497168225,244,,,,,"Philippines, subadult",7a,
Gallirallus_modestus                              ,Calayan Rail,F,1,5.497168225,244,,,,,"Philippines, subadult",7a,
Gallirallus_okinawae                              ,Okinawa Rail ,U,1,6.070737728,433,,,,,Okinawa,746,
Gallirallus_owstoni                               ,Guam Rail,M,27,5.484796933,241,,174,303,,Guam,578,
Gallirallus_pendiculentus                         ,Guam Rail,M,27,5.484796933,241,,174,303,,Guam,578,
Gallirallus_philippensis_subsp._assimilis         ,Buff-banded Rail ,F,1,5.480638923,240,,,,,Guadalcanal,399,
Gallirallus_philippensis_subsp._mellori           ,Buff-banded Rail ,F,1,5.480638923,240,,,,,Guadalcanal,399,
Gallirallus_philippensis_subsp._philippensis,Buff-banded Rail ,F,1,5.480638923,240,,,,,Guadalcanal,399,
Gallirallus_philippensis_subsp._sethsmithi,Buff-banded Rail ,F,1,5.480638923,240,,,,,Guadalcanal,399,
Gallirallus_philippensis_subsp._yorki ,Buff-banded Rail ,F,1,5.480638923,240,,,,,Guadalcanal,399,
Gallirallus_philippensis,Buff-banded Rail ,F,1,5.480638923,240,,,,,Guadalcanal,399,
Gallirallus_ripleyi ,Slaty-breasted Rail ,U,4,4.753590191,116,,100,142,,,"7, 1287",
Gallirallus_rovianae,Slaty-breasted Rail ,U,4,4.753590191,116,,100,142,,,"7, 1287",
Gallirallus_striatus ,Slaty-breasted Rail ,U,4,4.753590191,116,,100,142,,,"7, 1287",
Gallirallus_sylvestris,Lord Howe Rail,M,49,6.284134161,536,11,410,780,,Lord Howe Is.,746,
Gallirallus_torquatus_subsp._celebensis,Barred Rail,B,4,5.634789603,280,,241,200,,Philippines ,"954, 983",
Gallirallus_torquatus_subsp._sulcirostris,Barred Rail,B,4,5.634789603,280,,241,200,,Philippines ,"954, 983",
Gallirallus_torquatus_subsp._torquatus,Barred Rail,B,4,5.634789603,280,,241,200,,Philippines ,"954, 983",
Gallirallus_wakensis,Barred Rail,B,4,5.634789603,280,,241,200,,Philippines ,"954, 983",
Habroptila_wallacii,Nkulengu Rail,M,3,6.284134161,536,,504,595,,,1198,
Himantornis_haematopus ,Nkulengu Rail,M,3,6.284134161,536,,504,595,,,1198,
Laterallus_albigularis,White-throated Crake,M,13,3.906004933,49.7,5.8,,,,Panama ,489,
Laterallus_exilis,Gray-breasted Crake,M,10,3.478158423,32.4, ,26.5,39,,,1198,
Laterallus_jamaicensis,Black Rail,M,33,3.543853682,34.6,3.1,28.9,43,B,eastern USA,327,
Laterallus_melanophaius,Rufous-sided Crake,U,15,3.953164949,52.1,,,,, ,1198,
Lewinia_pectoralis,Lewin's Rail,M,9,4.391976966,80.8, ,71,100,Y,Australia,746,
Megacrex_inepta                                   ,New Guinea Flightless Rail,U,,7.090076836,1200,,,,,New Guinea,786,
Micropygia_schomburgkii,Ocellated Crake,U,2,3.440418095,31.2,,23.5,38.8, , ,1198,
Nesoclopeus_woodfordi_subsp._immaculatus,Woodford's Rail,M,5,6.385194399,593,,457,670,,Solomon Islands,"658, 1153b",
Pardirallus_maculatus,Woodford's Rail,M,5,6.385194399,593,,457,670,,Solomon Islands,"658, 1153b",
Pardirallus_sanguinolentus,Woodford's Rail,M,5,6.385194399,593,,457,670,,Solomon Islands,"658, 1153b",
Porphyrio_flavirostris,Azure Gallinule,M,9,4.535820108,93.3,,73,111,, ,1198,
Porphyrio_hochstetteri,Takahe,M,13,7.890956716,2673,258,2250,3250,,New Zealand,746,
Porphyrio_madagascariensis,Purple Swamphen,M,11,6.455198563,636,,528,687,,,1244,
Porphyrio_mantelli_subsp._mantelli,Takahe,M,13,7.890956716,2673,258,2250,3250,,New Zealand,746,
Porphyrio_martinica,Purple Gallinule,M,20,5.549076085,257,27.1,,,,,489,
Porphyrio_melanotus_subsp._melanotus,Purple Swamphen,M,148,6.994849986,1091,94.9,785,1310, ,Australia,746,
Porphyrio_poliocephalus_subsp._seistanicus,Purple Swamphen,M,148,6.994849986,1091,94.9,785,1310, ,Australia,746,
Porphyrio_porphyrio,Purple Swamphen,M,37,6.767343125,869,71.3,720,1000,,Spain,223,
Porphyrio_pulverulentus,Purple Swamphen,M,37,6.767343125,869,71.3,720,1000,,Spain,223,
Porzana_albicollis                                ,Ash-throated Crake,B,7,4.605170186,100,,90,112,, ,1198,
Porzana_carolina                                  ,Sora,U,86,4.314817885,74.8,13.1,49,126,,,1198,
Porzana_flaviventer                               ,Yellow-breasted Crake,M,6,3.261935314,26.1,,24,28,, ,1198,
Porzana_paykullii ,Band-bellied Crake,B,6,4.709530201,111,,84.8,132, ,,"1198, 1287",
Porzana_porzana,Spotted Crake,U,149,4.467056884,87.1,,47,147,Y,Europe; Africa,1198,
Porzana_pusilla                                   ,Baillon's Crake,B,12,3.56671182,35.4,,22.9,46,,Australia,746,
Porzana_spiloptera                                ,Spotted Crake,U,149,4.467056884,87.1,,47,147,Y,Europe; Africa,1198,
Porzana_tabuensis                                 ,Spotless Crake,M,7,3.864931398,47.7, ,39,56,,Australia ,746,
Rallina_eurizonoides_subsp._sepiaria,Slaty-legged Crake,B,6,4.691347882,109,,99,118,, ,1198,
Rallina_eurizonoides,Slaty-legged Crake,B,6,4.691347882,109,,99,118,, ,1198,
Rallus_aquaticus_subsp._aquaticus,Water Rail,M,64,4.828313737,125,15.3,92,166,F,Netherlands,223,
Rallus_aquaticus                                  ,Water Rail,M,64,4.828313737,125,15.3,92,166,F,Netherlands,223,
Rallus_elegans,King Rail,M,9,6.02827852,415,,340,490,,eastern USA,783,
Rallus_limicola,Virginia Rail,U,147,4.432006567,84.1,14.5,55,124,,"Arizona, USA",213,
Rallus_longirostris,Clapper Rail,M,81,5.583496309,266,350, , ,,"California, USA",325,
Sarothrura_elegans,Buff-spotted Flufftail,M,53,3.837299459,46.4,4.1,39.5,58,,,1198,
Sarothrura_rufa,Red-chested Flufftail,M,14,3.658420247,38.8,4.1,30,46.5,,,1198,
